Governor ID,Power,T4-Kills,T5-Kills,Kill Points
13435989,91.323.869,142.947.448,115.524.858,3.757.900.746
511299,90.927.258,160.355.706,90.978.418,3.485.663.264
72394837,86.611.715,85.027.944,45.008.777,1.850.573.194
126110613,84.384.929,87.273.494,39.696.016,1.715.572.111
126111420,77.426.507,71.960.764,35.406.238,1.441.655.192
96618719,76.295.887,54.141.047,29.766.991,1.154.379.499
126879222,73.199.476,58.373.936,13.682.568,874.921.231
48347023,72.871.798,101.725.524,56.334.499,2.183.889.813
87682154,71.061.606,66.334.957,24.943.739,1.208.917.204
37756921,71.053.695,84.299.455,48.760.742,1.876.904.633
61231144,70.346.657,44.352.408,11.869.982,734.269.185
57529532,68.047.674,92.926.829,40.485.510,1.778.124.014
127007750,65.941.633,40.872.269,5.855.108,563.316.309
13053022,64.885.687,115.566.211,36.387.648,1.903.358.263
132200003,62.706.092,65.457.786,11.804.817,944.042.316
75793684,60.242.161,6.661.307,1.276.882,108.234.302
47321625,59.683.491,28.278.212,10.260.860,529.762.596
137925809,57.896.750,18.141.949,1.379.006,225.591.365
138592126,57.354.710,30.242.681,9.326.369,505.022.236
127223302,55.395.168,11.223.073,3.325.938,181.362.837
116523621,55.296.083,30.532.536,6.566.657,463.632.190
116318635,54.880.457,13.322.973,1.576.466,173.286.867
103568461,53.774.341,34.896.351,6.526.073,485.088.447
106721604,53.093.948,38.785.764,14.986.686,718.685.453
127372510,51.625.326,58.380.560,3.488.150,712.333.374
53842831,51.293.578,3.539.985,2.936.330,97.315.343
137751392,49.662.312,78.040.858,7.417.487,1.015.098.904
141467685,48.041.266,4.978.169,753.997,66.527.593
111239942,47.823.190,7.696.090,5.099.936,203.576.702
139045590,46.956.007,17.091.934,5.264.513,281.504.045
140930222,45.925.577,9.855.778,899.363,122.451.885
138004729,45.573.145,41.556.759,3.852.359,536.087.586
130772349,44.630.616,33.345.087,3.584.985,446.782.346
903357,43.318.879,66.197.395,8.161.759,884.945.536
143834034,43.220.880,36.362.758,4.674.041,477.815.390
138407518,42.964.446,35.757.511,2.569.778,454.308.594
143518580,42.660.721,8.570.089,2.200.831,137.791.422
151947569,42.474.602,13.726.373,4.696.367,240.894.396
151946810,40.992.685,5.057.790,2.017.381,93.094.104
152716524,39.837.272,3.724.469,685.754,53.853.551
151646906,39.760.619,5.709.492,323.735,66.571.666
155201604,39.140.911,3.556.341,179.583,45.125.048
143728361,39.068.483,18.296.639,1.177.244,232.530.221
153281037,38.387.974,14.571.416,775.258,182.027.747
158694768,38.235.284,3.312.457,57.184,45.627.522
151304341,37.990.812,9.656.797,942.412,122.955.892
153208217,37.412.241,8.870.039,1.797.584,128.674.187
158838916,37.340.179,4.508.663,243.020,54.471.336
158710499,37.270.368,3.212.489,292.772,43.089.053
151135617,37.230.566,14.669.529,1.036.445,192.832.092
102493356,36.761.334,18.828.849,1.025.208,249.023.409
154676290,36.753.222,6.973.746,791.417,89.169.264
158748525,36.757.371,6.336.635,362.501,76.944.171
141066211,36.412.450,6.843.315,250.723,96.551.965
139227721,36.357.460,18.430.481,3.129.292,258.296.358
135891576,35.932.424,3.126.496,735.895,47.255.687
153312123,35.200.233,3.114.237,619.075,44.866.495
151139034,34.333.745,12.453.568,638.765,166.524.029
151143279,34.302.659,15.844.472,1.726.148,212.599.829
152550368,34.186.705,2.250.437,404.937,31.543.281
153594280,34.051.932,3.804.996,599.517,56.991.465
153576147,33.860.990,10.302.542,1.220.749,147.027.544
151136941,33.558.655,6.746.193,910.211,107.260.841
157353060,33.237.685,1.435.179,482.407,25.070.923
153147857,33.107.889,35.745.302,1.125.339,471.819.660
153849352,33.039.861,5.257.722,676.877,68.745.396
80086530,32.704.191,1.143.073,149.002,17.904.843
151234635,32.686.917,5.021.065,976.483,74.049.381
151973670,32.623.912,4.810.485,513.201,62.592.424
158838947,32.474.541,1.972.195,209.623,24.870.567
150481571,32.310.940,8.678.725,861.948,110.024.779
158816553,32.002.579,3.072.099,715.462,46.455.960
153875432,31.658.553,1.399.978,201.415,18.963.863
154702060,31.495.946,6.678.499,934.414,101.758.396
155893823,31.482.500,5.245.530,1.144.966,77.781.011
151767594,31.474.852,4.329.592,640.141,56.564.514
155732112,31.412.618,1.662.384,491.350,27.943.560
151367371,31.313.070,4.828.284,928.734,68.419.546
151805177,30.861.564,421.894,44.573,5.562.401
154684300,30.470.469,844.181,0,17.472.419
158710413,30.222.309,743.924,149.964,11.107.334
156217242,29.755.593,1.554.168,145.291,21.489.000
154596945,29.748.420,3.150.451,612.464,46.862.527
138722098,29.748.142,19.764.966,2.088.755,251.178.036
153797864,29.676.809,1.058.728,202.935,15.126.747
158759616,29.638.594,993.802,111.321,14.604.353
152455203,29.554.940,948.958,206.581,14.086.175
151798669,29.528.933,7.589.012,876.182,103.270.107
154473476,29.043.333,1.173.682,66.201,15.601.049
157828139,28.861.024,351.225,26.143,6.591.951
151256103,28.834.528,2.968.488,257.800,38.121.995
136683464,28.535.857,4.228.625,1.433.384,72.872.299
158472894,28.520.742,1.494.933,355.789,24.021.015
151184942,28.507.215,20.518.063,1.991.234,283.729.544
151283032,28.460.111,4.076.295,654.436,55.860.215
158788244,28.190.203,3.967.865,454.143,51.607.189
152955740,28.038.985,10.963.350,215.455,141.982.587
153448522,28.031.947,5.592.458,785.859,74.226.527
158781683,27.935.978,156.379,14.617,2.188.548
159152267,27.860.393,52.938,132,941.238
158238855,27.840.943,11.198.165,822.530,141.879.831
158723249,27.762.743,11.133.483,174.906,154.203.236
151252771,27.582.719,4.063.707,433.628,55.860.334
154638684,27.555.243,4.648.142,398.739,65.489.863
139971101,27.373.840,3.637.207,560.002,50.513.086
158822679,27.345.188,10.549.263,331.614,129.576.162
154682704,27.306.289,427.462,1.376,6.162.404
158817733,27.150.663,1.025.205,149.067,19.842.817
144446811,27.120.574,15.301.707,1.559.213,206.332.776
111279790,27.080.219,1.625.403,177.629,20.504.849
158824894,26.953.748,1.422.046,114.143,18.778.292
158328432,26.929.102,3.569.968,111.177,41.844.183
158777692,26.864.994,1.607.282,103.849,21.030.541
158330146,26.723.108,20.429.672,930.211,229.194.397
155576683,26.703.006,728.233,130.458,11.306.317
153457129,26.613.122,641.789,151.054,10.167.788
158744287,26.554.460,2.965.815,471.301,41.823.387
155900192,26.253.570,12.316.865,651.577,150.600.593
86307403,26.220.565,961.296,55.991,13.593.174
25462680,26.072.763,1.224.940,194.141,16.729.388
158819858,26.050.640,315.198,57.528,4.569.732
158731696,26.047.906,4.352.044,152.986,55.667.916
154136090,25.942.250,75.967,4.744,915.032
156977600,25.911.401,3.137.260,118.454,40.705.902
114326691,25.875.498,3.579.105,490.913,50.666.929
27781817,25.821.676,358.622,8.551,4.149.109
151146853,25.651.677,6.531.928,1.034.451,87.724.613
155418898,25.618.350,776.838,46.650,9.679.897
158717780,25.521.882,8.904.729,115.027,129.373.163
157771359,25.441.845,4.449.466,152.589,55.255.220
158717087,25.254.692,4.754.149,288.554,72.916.494
147982101,25.250.021,478.060,14.982,10.921.308
157658385,25.151.263,677.939,123.767,9.750.722
152054450,24.995.744,2.890.777,278.190,39.014.350
153935862,24.978.759,3.405.881,80.763,45.123.834
153920333,24.924.839,3.351.255,453.354,44.686.582
151876225,24.854.981,3.456.857,281.325,54.840.702
158421479,24.845.368,669.815,3.402,11.363.102
155819169,24.831.660,5.042.089,878.027,70.368.286
159304186,24.568.291,260.368,13.697,2.963.591
158692293,24.377.821,813.435,78.102,10.310.950
158541817,24.185.135,1.188.493,1.373,17.590.854
158098298,24.082.809,2.232.299,279.475,30.017.939
126317775,24.015.067,4.007.349,386.365,51.083.931
158782217,23.705.060,40.228,0,538.260
150995980,23.591.447,851.322,135.577,12.487.966
158739177,23.542.035,4.422.689,296.890,56.345.898
158116023,23.527.020,847.014,80.969,11.781.233
154046067,23.487.010,1.128.484,49.635,17.356.259
150955798,23.480.678,19.739.872,458.962,221.890.811
133701299,23.357.241,1.146.537,164.005,16.464.701
158697223,23.315.635,2.232.169,300.293,32.630.860
158589659,23.279.917,713.909,52.169,10.874.658
158066570,23.118.506,757.759,17.273,13.876.025
151138780,23.067.874,416.095,26.405,5.669.604
77819285,23.041.732,247.281,18.270,5.664.909
159711322,23.013.697,80,0,202.623
158765319,23.013.513,66.451,0,942.891
140498457,22.964.597,578.591,7.869,7.154.506
158727931,22.949.653,3.109.340,61.159,48.794.757
30158555,22.861.963,300.508,20.987,4.402.917
158828394,22.823.902,1.936.967,290.280,26.169.325
158729833,22.776.843,182.549,857,2.579.402
158711847,22.762.188,283.036,30.956,6.420.267
120089481,22.730.689,1.284.488,55.852,17.914.828
153582627,22.726.027,2.912.768,143.654,35.266.715
158709363,22.678.218,1.373.282,153.155,23.154.521
154606364,22.653.663,4.726.510,167.473,54.542.655
158791547,22.634.259,937.124,46.556,12.606.819
158760808,22.390.100,17.991,0,379.139
158788775,22.181.552,499.934,53.582,7.343.645
158826629,22.119.288,2.508.178,83.951,30.821.995
158496334,22.113.367,451.371,7.463,4.888.572
159457542,21.961.898,1.232.531,54.863,18.483.580
158754256,21.902.035,14.478.371,822.156,172.148.978
158113245,21.887.319,656.558,0,10.190.190
158749940,21.763.404,1.008.304,108.969,13.852.221
158744785,21.435.490,432.085,20.777,5.204.893
159400016,21.431.563,263.055,27.260,4.099.148
139118820,21.213.268,2.569.687,575.773,38.465.922
157984087,21.188.435,558.294,70.983,8.907.395
158746441,21.131.883,2.143.207,32.779,30.832.682
28074327,20.963.116,961.951,159.980,16.875.878
159192432,20.873.356,65.760,0,1.385.279
158934889,20.807.145,308.789,23.347,4.049.084
158781992,20.793.071,508.626,9.255,13.027.980
158794171,20.756.840,997.971,197.920,16.440.564
160344254,20.755.840,1.927.492,348.063,27.058.498
154011571,20.754.792,231.329,24.852,9.222.271
159550332,20.708.921,347.144,15.884,6.686.947
158730209,20.700.486,869.119,5.430,11.356.072
158727905,20.681.761,1.798.179,26.332,21.721.356
158801531,20.600.471,7.017.241,100.262,90.728.315
158833060,20.589.653,133.740,11.300,4.435.346
72628518,20.495.397,5.663,2.770,265.040
160002720,20.376.102,19.398,8.667,625.575
156318135,20.272.690,1.459.039,181.079,19.241.359
159085502,20.270.843,1.049.938,133.383,18.680.242
158731976,20.218.998,255.674,1.231,3.077.537
158454534,20.182.367,1.465.035,102.208,18.796.204
158171779,19.969.802,663.327,14.039,12.057.454
159762915,19.966.038,38.703,15.480,910.434
152877774,19.922.627,8.476.259,368.029,95.589.199
153913476,19.917.162,48.885,0,633.750
158780089,19.894.099,1.487.392,11.095,18.383.674
158701080,19.865.617,465.300,31.014,6.644.028
158816262,19.894.963,42.921,0,617.715
154641186,19.781.508,1.271.144,25.317,17.751.420
59474833,19.756.777,37.004,7.078,667.989
158597248,19.729.534,42.319,15.034,897.182
158824340,19.726.592,305.898,26.301,4.599.188
156977532,19.708.769,81.067,20.706,1.530.585
153951273,19.680.780,410.036,148.385,7.158.455
158793045,19.654.813,1.579.435,11.033,18.728.618
157597860,19.602.879,116.766,0,1.954.797
60365060,19.472.141,372.285,10.040,4.135.978
157225651,19.462.972,1.024.995,20.414,21.384.436
151093596,19.436.074,4.135.582,110.495,58.467.304
99141302,19.332.061,551.617,65.036,7.230.111
158746777,19.267.663,2.282.605,91.588,28.862.202
158258208,19.253.262,6.232.612,115.908,73.820.160
158761578,19.104.420,470.475,6.763,5.391.181
158730073,19.030.306,41.425,0,914.636
55263617,18.909.522,200.046,21.214,2.450.969
158789742,18.905.668,62.998,3.694,1.102.739
158746192,18.882.868,6.824,0,82.031
161993778,18.772.312,306.629,81.901,4.929.708
158744369,18.758.880,4.043,0,205.477
161106154,18.739.786,599.651,0,8.553.519
154634984,18.707.828,142.887,5.089,2.585.689
117492521,18.376.900,163.391,40.176,6.158.824
158808537,18.332.612,102.997,0,1.876.387
157733989,18.330.994,481.242,35.040,5.709.071
158793534,18.305.574,120.933,0,6.524.094
158167954,18.188.677,967.070,91.563,12.257.529
136668647,18.120.039,564.555,135.819,8.574.918
158773701,18.037.872,104.622,2.642,1.355.550
157284988,18.024.659,659.185,0,8.896.241
158807913,17.856.288,60.590,0,1.405.537
158761527,17.754.824,18.095,0,403.558
158738424,17.632.077,9.370,0,457.717
154241742,17.394.915,82.099,0,1.459.344
158944289,17.393.298,5.456,0,384.613
110975132,17.380.856,531.297,44.351,7.464.857
158744219,17.318.952,337.649,20.219,6.666.614
158959649,17.246.922,10.305,0,893.562
158723863,17.062.713,284.290,56.287,8.240.587
158320628,16.978.721,1.219.982,19.177,25.293.494
146121050,16.643.799,1.378.490,232.802,19.350.168
144824793,16.458.053,110.791,13.935,2.124.737
158166711,16.388.899,2.440.246,44.191,30.388.194
158806683,16.279.537,16.701,13.442,1.394.832
158766458,16.253.278,267.530,0,4.607.431
158817484,16.118.390,534.802,45.384,6.879.183
157399484,16.102.753,437.983,0,4.501.020
154450141,16.052.819,16.911,0,635.821
155064524,16.025.265,303.620,0,6.151.728
158768202,15.799.072,18.174,0,938.722
158787075,15.625.131,68.870,0,1.891.690
127188664,15.604.684,494.601,0,20.294.161
158367485,15.581.765,770.836,11.950,8.527.159
159314709,15.549.115,29.801,16.415,1.028.795
158753343,15.439.715,41.692,0,1.116.069
152803860,15.294.609,752.019,21.198,9.636.464
158278040,15.247.204,2.537.719,53.968,30.524.033
158757920,15.221.695,223.152,0,5.260.703
158600666,15.150.521,1.153.671,95.330,15.027.478
158733836,15.142.028,765.147,24.739,16.159.093
157621370,15.101.550,446.104,49.739,5.684.977
158789936,15.077.407,2.490,0,217.460
158762516,15.016.011,100.329,4.872,1.314.269
158794634,15.013.664,10.430,0,930.229
158823700,14.919.306,641.663,5.088,7.835.897
146319699,14.703.651,4.546.365,294.482,54.448.221
158795793,14.691.978,8.481,0,223.772
116937846,14.682.984,391.967,104.357,9.594.826
158704496,14.707.215,43.380,0,702.904
158654481,14.664.040,772.919,7.715,19.690.151
158804738,14.640.169,16.508,5.999,332.952
158955564,14.581.684,24.825,0,728.244
158821975,14.475.783,514.038,49.104,10.025.253
158389468,14.430.707,253.769,55.432,4.336.224
24433142,14.230.867,13.723,19.109,2.095.444
158726753,14.199.068,149.650,0,1.628.420
158545013,14.148.761,163.541,2.703,3.572.236
158708183,14.135.037,273.145,1.200,2.948.812
158960351,14.071.080,799.508,40.727,11.337.737
158818654,14.064.731,240.287,2.957,2.530.822
159446199,14.024.892,1.200.680,0,22.340.262
158736920,14.008.074,168.867,21.997,3.069.530
124628469,13.985.153,1.097.845,84.810,24.430.780
158352560,13.974.478,662.793,34.706,9.770.067
157601418,13.841.989,625.423,0,12.635.925
158761251,13.800.266,9.622,0,296.541
10238650,13.685.202,932.334,113.771,12.575.473
158747217,13.677.273,285.838,50,2.983.516
157594795,13.641.617,6.568,0,127.994
158796067,13.627.574,94.508,0,2.300.679
155105553,13.578.862,705.732,0,9.514.323
158815973,13.527.390,195.217,0,3.021.973
158717956,13.500.910,19.690,0,383.109
158776178,13.412.678,77.961,0,1.975.160
158810053,13.379.195,12.608,0,452.605
158383156,13.375.773,621.858,48.594,10.375.804
141148927,13.557.351,82.231,0,888.913
158724882,13.184.011,72.510,3.331,1.413.230
158743388,13.179.781,42.620,0,781.946
158726839,13.112.890,13.250,0,298.824
158799343,13.093.282,20.404,0,560.445
158024628,13.089.056,93.041,0,2.966.347
158779486,13.040.702,357.855,45,5.897.784
158705202,12.972.704,148.192,0,1.968.751
158841854,12.956.557,159.389,0,2.897.784
158816520,12.777.245,3.685,0,110.991
163654090,12.775.347,1.819,0,37.612
158390317,12.753.584,494.515,11.992,8.872.871
158750158,12.740.748,656.254,8.612,12.561.135
158598833,12.740.145,111.281,0,1.499.528
110231538,12.690.554,1.096.454,26.308,12.685.089
158559127,12.566.659,138.352,0,1.550.473
158715976,12.517.918,54.785,0,1.195.834
158723988,12.450.664,962,0,37.254
158724760,12.452.142,63.269,0,873.926
109185084,12.447.101,104.083,0,1.084.329
152799717,12.417.843,35.281,234,402.030
